song,lyrics,year
Voodoo Child (Slight Return)," Well, I stand up next to a mountain And I chop it down with the edge of my hand Well, I stand up next to a mountain And I chop it down with the edge of my hand Well, I pick up all the pieces and make an island Might even raise a little sand Yeah 'Cause I'm a voodoo child Lord knows I'm a voodoo child, baby I want to say one more last thing I didn't mean to take up all your sweet time I'll give it right back to you one of these days, hahaha I said I didn't mean to take up all your sweet time I'll give it right back one of these days Oh yeah If I don't meet you no more in this world, then I'll meet you in the next one And don't be late Don't be late 'Cause I'm a voodoo child, voodoo child Lord knows I'm a voodoo child, baby I'm a voodoo child, baby I don't take no for an answer Question no Lord knows I'm a voodoo child, baby ",1968
I'm The Greatest Star," Listen I've got thirty-six expressions Sweet as pie to tough as leather And that's six expressions more Than all them Barrymores put together Instead of just kicking me Why don't they give me a lift? It must be a plot 'Cause they're scared that I got Such a gift-well, I'm miffed-'cause I'm the greatest star I am by far, but no one knows it! Wait, they're gonna hear a voice A silver flute-ah hah, ah hah They'll cheer each toot (Hey! I hear she's terrific) When I expose it Now, can't you see to look at me That I'm a natural Camille? As Camille I just feel I've so much to offer Listen kid, I know I'd be divine because I'm a natural cougher Some ain't got it-not a lump I'm a great big clump of talent! Laugh They'll bend in half (Did you ever hear the story about the traveling salesman?) A thousand jokes Stick around for the jokes A thousand faces I reiterate When you're gifted Then you're gifted These are facts-I got no axe to grind Hey, what are they-blind? In all of the world so far I'm the greatest star Who is the pip with piz-azz? Who is all ginger and jazz? Who is as glamorous as? Who's an American Beauty rose With an American Beauty nose And ten American Beauty toes Eyes on the target, and wham- One shot, one gun shot and bam! Hey, Mr. Keaney, here I am! I'm the greatest star I am by far But no one knows it! That's why I was born I'll blow my horn Till someone blows it! I'll light up like a light Right up like a light I'll flicker, then flare up All the world's gonna stare up Lookin' down You'll never see me Try the sky 'Cause that'll be me I can make 'em cry I can make 'em sigh Someday they'll clamor For my dram-er Have you guessed yet Who's the best yet? If you ain't I'll tell you one more time You bet your last dime In all of the world so far I'm the greatest, greatest star! ",1968
I Got The Feelin'," Uh huh, uh uh I got the feeling Baby, baby I got the feeling You don't know what you do to me People are heavy, down in misery Hey, yeah, all right, ow Hey, hey, ah, good Lord I got the feeling, all right Baby, baby, baby Baby, baby, baby Baby, baby, baby Baby, baby I got the feeling, baby Baby, sometimes I'm up Sometimes I'm down My heart, I'm around the town I'm level with the ground, baby I said level with the ground Well, baby, you treat me You treat me bad No, no, I know No, you don't mean it now Sometimes, I roam But I'll be coming back home Sometimes I seem to be fly I just don't want you To say, ""Bye, bye"" Hey, baby, uh uh... Waaah, baby I got that feeling, baby I have it, all right Baby, baby, baby Baby, baby, baby Baby, baby, baby Baby, baby Come on a Come on now Oh, oh, oh, oh ... ",1968
I Ain't Superstitious," Ain't superstitious Black cat crossed my trail I ain't superstitious But a black cat crossed my trail Bad luck ain't got me so far And I won't let it stop me now The dogs begin to bark All over my neighborhood and that ain't all Dogs begin to bark All over my neighborhood This is a mean old world to live in And I can't face it all by myself, at all And, dogs begin to bark All over my neighborhood The dogs begin to bark All over my neighborhood I got a feelin' about the future And it ain't too good, I know that I know, I know, I know, I Ain't superstitious But a black cat crossed my trail I said it so many times before Ain't superstitious A black cat crossed my trail Bad luck ain't got me so far And you know I ain't gonna let it stop me now ",1968
Equal Rights," Everyone is crying out for peace, yes, None is crying out for justice. I don't want no peace, I need equal rights and justice. I need equal rights and justice. I need equal rights and justice. Got to get it! Equal rights and justice. Everybody want to go to heaven But nobody want to die. Everybody want to go up to heaven But none o' them, none o' them, want to die. I don't want no peace, I man need equal rights and justice. I've got to get it! Equal rights and justice. I really need it! Equal rights and justice. Just give me my share! Equal rights and justice. What is due to Caesar You better give it on to Caesar. And what belong to I and I You better, you better, give it up to I. Cause I don't want no peace, I need equal rights and justice. I need equal rights and justice. I've got to get it! Equal rights and justice. I'm fighting for it! Equal rights and justice. Everyone heading for the top But tell me how far is it from the bottom? Nobody knows but Everybody fighting to reach the top How far is it from the bottom? Everyone is talking about crime, Tell me who are the criminals? I said everybody's talking about crime, crime, Tell me who, who are the criminals? I really don't see them! Equal rights and justice. And there'd be no crime! Equal rights and justice. There be no criminals! Equal rights and justice. Everyone is fighting for equal rights and justice. Palestine is fighting for equal rights and justice. Down in Angola. Equal rights and justice. Down in Botswana. Equal rights and justice. Down in Zimbabwe. Equal rights and justice. Down in Rhodesia. Equal rights and justice. Right here in Jamaica. Equal rights and justice. ",1968
Living In The U.S.A.," Stand back, stand back Stand back, stand back Stand back, stand back Stand back, stand back Doot do do do do doot doot Living in the U.S.A. Doot do do do do doot doot Living in the U.S.A. Where are you goin' to What are you gonna do Do you think that it will be easy Do you think that it will be pleasin', hey Stand back, what'd you say Stand back, I won't pay Stand back, I'd rather play Stand back It's my freedom Ah, don't worry 'bout me, babe I got to be free, babe Hey Doot do do do do doot doot Living in the U.S.A. Doot do do do do doot doot Living in the U.S.A. Stand back, dietician Stand back, television Stand back, politician Stand back, mortician Oh, we got to get away Living in the U.S.A. Come on baby, Owwww I see a yellow man, a brown man A white man, a red man Lookin' for Uncle Sam To give you a helpin' hand But everybody's kickin' sand Even politicians We're living in a plastic land Somebody give me a hand, yeah Oh, we're gonna make it, baby Oh, we're going to shake it, baby Oh, don't break it Yeah, yeah, yeah, yeah, yeah Come on baby, hey Hey, hey In the U.S.A., babe yeah Doot do do do do doot doot Living in the U.S.A. Don't worry 'bout me, babe Doot do do do do doot doot Living in the U.S.A. Living in the U.S.A. Doot do do do do doot doot Living in the U.S.A. I got to be free Doot do do do do doot doot Living in the U.S.A. Come on try it, you can buy it, you can leave it next week, yeah Somebody give me a cheeseburger ",1968
"Rainy Day, Dream Away"," Hey man, take a look out the window 'n' see what's happenin' Hey man, it's rainin' It's rainin' outside man Aw, don't worry 'bout that Everything's gonna be everything We'll get into somethin' real nice you know Sit back and groove on a rainy day Yeah Yeah I see what you mean brother, lay back and groove. Rainy day, dream away Ah let the sun take a holiday Flowers bathe an' ah see the children play Lay back and groove on a rainy day. Well I can see a bunch of wet creatures, look at them on the run The carnival traffic noise it sings the tune splashing up 'n' Even the ducks can groove rain bathin' in the park side pool And I'm leanin' out my window sill diggin' ev'rything And ah and you too. Rainy day, rain all day Ain't no use in gettin' uptight Just let it groove its own way Let it drain your worries away yeah Lay back and groove on a rainy day hey Lay back and dream on a rainy day ",1968
Presents for Christmas," Oh, this is gonna be a groove for me It's gonna be a something different but We gonna give it to 'em anyway Are you ready? Come on! We wanna give out a present to Everybody this Christmas All around the world For every man, woman, boy and girl Are you ready right now Come one, here we go Oh, I like it like that, come on That's it, alright, come on Christmas presents around the world Something mighty sweet to see If only if I just had a present for everyone Under one great big Christmas tree Every boy that wants a brand new toy For every Jonny that wants a car Every junior that wants a mobiles bike That rides and rides and rides Now my little daughter She wants a doll that cries One that walks and wipes its eyes And I see there's someone That wants somebody home Just to lean her head in their arms What a Christmas present, this Christmas Oh, what a gift you could be You know if I can just give out Christmas presents to everyone Under one great big Christmas tree You know I'm even fat enough to be The world's biggest Santa Claus And everybody can just stand around And just say, ooh is that for me? Come on, a Christmas present for Everybody this year We want to give it to 'em Are you ready? Come on everybody, come on One more time together Merry Christmas, baby A present to you, this Christmas Directly from me All the Disc Jockeys around the world Merry Christmas All the policemen and all the pretty girls Oh la la la... That's from my old friend And I'm so good Christmas presents, baby Here we go Come on, let me hear you Come on Alright, now listen to me Somewhere, in this big wide world There's somewhere, a girl and boy Who's wishing for a great big Christmas Maybe one, two or three toys But sadly enough Believe me, as it seems They won't get these things, we know But the best we can do Is to wish a merry Christmas to you And next year, things will have another joy Christmas wishes for everyone Oh, what a gift it can be ",1968
House Burning Down," Hey! Hey! Hey! Hey! Look at the sky turn a hell fire red Somebody's house is burnin' down down, down down Down, down, down Well I asked my friend where is that black smoke comin' from? He just coughed and changed the subject and Said oh wa I think it might snow some So I left him sippin' his tea an' I jumped in my chariot And rode off to see just why and who could it be this time Sisters and brothers daddys mothers standin' 'round cryin' When I reached the scene the flames were makin' a ghostly whine So I stood on my horse's back an' I screamed without a crack I say oh baby why'd you burn your brother's house down? Hey! Hey! Hey! Hey! Look out the sky turn a hell fire red Lord Somebody's house is burnin' down down, down down Look out the sky turn a hell fire red Lord Somebody's house is burnin' down down, down down down Well someone stepped from the crowd he was nineteen miles high He shouts retired and disgusted so we paint red through the sky I said the truth is straight ahead so don't burn yourself instead Try to learn instead of burn, hear what I say, yeah, yeah So I fin'ly rode away but I'll never forget that day 'Cause when I reached the valley I looked way down cross the way A giant boat from space landed with eerie grace And came and taken all the dead away Hey! Hey! Hey! Hey! What'd I say Look at the sky turn a hell fire red Lord Somebody's house is burning down down, down down Look at the sky turn a hell fire red Lord Somebody's house is burning down down, down down Look at the sky, look at the sky Ooh, ooh, ooh Ooh, ooh, ooh Oh baby ",1968
Comic Strip," Viens petite fille dans mon comic strip Viens faire des bull's, viens faire des wip Des clip! crap! des bang! des vlop! et des zip Shebam! pow! blop! wizz J'distribue les swings et les uppercuts Ca fait vlam! ça fait splatch! et ça fait chtuck Ou bien bomp! ou humpf! parfois même pfff Shebam! pow! blop! wizz Viens petite fill' dans mon comic strip Viens faire des bull's, viens faire des wip Des clip! crap! des bang! des vlop! et des zip Shebam! pow! blop! wizz Viens avec moi par dessus les buildings Ca fait whin! quand on s'envole et puis kling Après quoi je fais tilt! et ça fait boing Shebam! pow! blop! wizz Viens petite fill' dans mon comic strip Viens faire des bull's, viens faire des wip Des clip! crap! des bang! des vlop! et des zip Shebam! pow! blop! wizz N'aies pas peur bébé agrippe-toi chrack Je suis là crash! pour te protéger tchlack Ferme les yeux crack! embrasse-moi smack Shebam! pow! blop! wizz Shebam! pow! blop! wizzzzz ",1968
Girls Can't Do What the Guys Do," The guys are gonna wander Go out and play some times But girls you must not let it get you down Just take this advice I give you just like a mother You try to match your guy just for two Don't try to do the things that the guys do Girls you can't do what the guys do, no And still be a lady Girls you can't do what the guys do, no And still be a lady, no And listen girls when you give your heart away You can easily be hurt And the least little wrong he does Always seems like dirt So take this advice I give you just like a mother You try to match your man just for two Don't try to do the things the guys do Cause girls you can't do what the guys do, no And still be a lady Girls you can't do what the guys do, no And still be a lady, no When you put your faith in one guy Sometimes he'll make you happy Sometimes he'll make you cry But don't lose your self-respect Trying to get revenge Cause no matter how you do it You'll lose it in the end Cause girls you can't do what the guys do, no And still be a lady Girls you can't do what the guys do, no And still be a lady, no ",1968
Voices of Old People, ,1968
Several Species of Small Furry Animals Gathered Together in a Cave and Grooving with a Pict," Aye an' a bit of Mackeral settler rack and ruin ran it doon by the haim, 'ma place well I slapped me and I slapped it doon in the side and I cried, cried, cried. The fear a fallen down taken never back the raize and then Craig Marion, get out wi' ye Claymore out mi pocket a' ran doon, doon the middin stain picking the fiery horde that was fallen around ma feet. Never he cried, never shall it ye get me alive ye rotten hound of the burnie crew. Well I snatched fer the blade O my Claymore cut and thrust and I fell doon before him round his feet. Aye! A roar he cried frae the bottom of his heart that I would nay fall but as dead, dead as 'a can be by his feet; de ya ken? And the wind cried Mary. Thank you. ",1969
Love Buzz," Would you believe me when I tell you You are the king of my dreams. Please don't deceive me when I hurt You. It just ain't the way it seems. Can't you hear my love buzz? Can't you hear my love buzz? Can't you hear my love buzz? I need you like a desert needs rain. I would rather like to die. Darling I hurt when I do not see you, So spread your wings and fly. Can't you hear my love buzz? Can't you hear my love buzz? Can't you hear my love buzz? ",1969
Grantchester Meadows," Icy wind of night, be gone This is not your domain In the sky a bird was heard to cry Misty morning whisperings and gentle stirring sounds Belied a deathly silence that lay all around Hear the lark and harken to the barking of the dog fox gone to ground See the splashing of the kingfisher flashing to the water And a river of green is sliding unseen beneath the trees Laughing as it passes through the endless summer making for the sea In the lazy water meadow I lay me down All around me Golden sun flakes settle on the ground Basking in the sunshine of a bygone afternoon Bringing sounds of yesterday into this city room Hear the lark and harken to the barking of the dog fox gone to ground See the splashing of the kingfisher flashing to the water And a river of green is sliding unseen beneath the trees Laughing as it passes through the endless summer making for the sea In the lazy water meadow I lay me down All around me Golden sun flakes covering the ground Basking in the sunshine of a bygone afternoon Bringing sounds of yesterday into my city room Hear the lark and harken to the barking of the dog fox gone to ground See the splashing of the kingfisher flashing to the water And a river of green is sliding unseen beneath the trees Laughing as it passes through the endless summer making for the sea ",1969
The Weight," I pulled into Nazareth, I was feelin' about half past dead; I just need some place where I can lay my head. ""Hey, mister, can you tell me where a girl might find a bed?"" He just grinned and shook my hand, and ""No,"" was all he said. Take a load off Annie, take a load off for free; Take a load off Annie, And (and) (and) put the weight on me. I picked up my bag, I went lookin' for a place to hide; When I saw Carmen and the Devil walkin' side by side. I said, ""Hey, Carmen, come on, let's go downtown."" She said, ""Well I gotta go, but m'friend can stick around."" Take a load off Annie, take a load off for free; Take a load off Annie, And (and) (and) put the weight on me. Go down, Moses, there's nothin' that you can say It's just like ol' Luke waitin', waitin' on Judgement Day. ""Well, Luke, my friend, what about Anna Lee?"" He said, ""Do me a favour, stay an' keep Anna Lee some company."" Take a load off Annie, take a load off for free; Take a load off Annie, And (and) (and) put the weight on me. Catch me a cannon ball, now take me on down the line My bag is sinkin' low, and I believe that it's about time. To get in touch with Annie, you know she's the one. Who sent me here with her regards for everyone? Take a load off Annie, take a load off for free; Take a load off Annie, And (and) (and) put the weight on me. ",1970
Mercedes Benz," Oh Lord, won't you buy me a Mercedes Benz? My friends all drive Porsches, I must make amends Worked hard all my lifetime, no help from my friends So Lord, won't you buy me a Mercedes Benz? Oh Lord, won't you buy me a color TV? Dialing for dollars is trying to find me I wait for delivery each day until three So oh Lord, won't you buy me a color TV? Oh Lord, won't you buy me a night on the town? I'm counting on you, Lord, please don't let me down Prove that you love me and buy the next round Oh Lord, won't you buy me a night on the town? Everybody! Oh Lord, won't you buy me a Mercedes Benz? My friends all drive Porsches, I must make amends Worked hard all my lifetime, no help from my friends So oh Lord, won't you buy me a Mercedes Benz? That's it! ",1971
The Revolution Will Not Be Televised," You will not be able to stay home, brother You will not be able to plug in, turn on and cop out You will not be able to lose yourself on skag and Skip out for beer during commercials Because the revolution will not be televised The revolution will not be televised The revolution will not be brought to you by Xerox In 4 parts without commercial interruptions The revolution will not show you pictures of Nixon Blowing a bugle and leading a charge by John Mitchell, General Abrams and Spiro Agnew to eat Hog maws confiscated from a Harlem sanctuary The revolution will not be televised The revolution will not be brought to you by the Schaefer Award Theatre and will not star Natalie Wood and Steve McQueen or Bullwinkle and Julia The revolution will not give your mouth sex appeal The revolution will not get rid of the nubs The revolution will not make you look five pounds thinner Because the revolution will not be televised, Brother There will be no pictures of you and Willie May Pushing that shopping cart down the block on the dead run Or trying to slide that color TV into a stolen ambulance NBC will not be able to predict the winner at 8:32 On reports from 29 districts The revolution will not be televised There will be no pictures of pigs shooting down Brothers on the instant replay There will be no pictures of pigs shooting down Brothers on the instant replay There will be no pictures of Whitney Young being Run out of Harlem on a rail with a brand new process There will be no slow motion or still life of Roy Wilkins strolling through Watts in a Red, Black and Green liberation jumpsuit that he has been saving For just the proper occasion Green Acres, Beverly Hillbillies, and Hooterville Junction will no longer be so damned relevant, and Women will not care if Dick finally got down with Jane on Search for Tomorrow because Black people Will be in the street looking for a brighter day The revolution will not be televised There will be no highlights on the eleven o'clock News and no pictures of hairy armed women Liberationists and Jackie Onassis blowing her nose The theme song will not be written by Jim Webb or Francis Scott Key, nor sung by Glen Campbell, Tom Jones, Johnny Cash, Engelbert Humperdinck, or The Rare Earth The revolution will not be televised The revolution will not be right back After a message about a white tornado, white lightning, or white people You will not have to worry about a dove in your Bedroom, a tiger in your tank, or the giant in your toilet bowl The revolution will not go better with Coke The revolution will not fight the germs that may cause bad breath The revolution will put you in the driver's seat The revolution will not be televised, will not be televised Will not be televised, will not be televised The revolution will be no re-run brothers The revolution will be live ",1971
I Just Want To Celebrate," One, two, three, four I just want to celebrate another day of livin' I just want to celebrate another day of life I put my faith in the people But the people let me down So I turned the other way And I carry on, anyhow That's why I'm telling you I just want to celebrate, yeah, yeah Another day of living, yeah I just want to celebrate another day of life Had my hand on the dollar bill And the dollar bill flew away But the sun is shining down on me And it's here to stay That's why I'm telling you I just want to celebrate, yeah, yeah Another day of living, yeah I just want to celebrate another day of livin' I just want to celebrate another day of life Don't let it all get you down, no, no Don't let it turn you around and around and around and around and around Well, I can't be bothered with sorrow And I can't be bothered with hate, no, no I'm using up the time but feeling fine, every day That's why I'm telling you I just want to celebrate Oh, yeah I just want to celebrate another day Oh, I just want to celebrate another day of livin' I just want to celebrate another day of life Don't let it all get you down, no, no Don't let it turn you around and around... Don't go round I just want to celebrate I just want to celebrate Well, I just want to celebrate Said I just want to celebrate (celebrate) I just want to celebrate (I want to celebrate) I just want to celebrate (I got to celebrate) I just want to celebrate ",1971
The Thrill Is Gone," The thrill is gone The thrill is gone away The thrill is gone baby The thrill is gone away You know you done me wrong baby And you'll be sorry someday The thrill is gone It's gone away from me The thrill is gone baby The thrill is gone away from me Although, I'll still live on But so lonely I'll be The thrill is gone It's gone away for good The thrill is gone baby It's gone away for good Someday I know I'll be over it all baby Just like I know a good man should You know I'm free, free now baby I'm free from your spell Oh I'm free, free, free now I'm free from your spell And now that it's all over All I can do is wish you well ",1971
Love and Happiness," Love and happiness (yeah) Something that can make you do wrong Make you do right Love... Love and happiness (Wait a minute) Something's going wrong Someone's on the phone Three o'clock in the morning Talking about how she can make it right (well) Happiness is when you really feel good about somebody There's nothing wrong Bing in love with someone (Yeah. Oh baby) Love and happiness (Love and happiness) (Have to say) Love and happiness (Love and happiness) You be good to me I'll be good to you We'll be together We'll see each other Walk away with victory (Oh baby) Love and happiness (Love and happiness) (Hey hey hey) Make you do right Love'll make you do wrong Make you come home early Make you stay out all night long The power of love (Wait a minute, let me tell you) The power of love The power... Make you do right Love'll make you do wrong (Love and happiness) Love'll make you wanna dance and sing Make you wanna dance Love and happiness Love is... (Wait a minute) Love is... Walkin' together Talkin' together Singin' together Prayin' together Say, I wanna moan, say.. Moan for love, I say... Let me moan for love, I say... Wanna moan for love Talkin' about the power... ",1972
Andy's Chest," If I could be anything in the world that flew I would be a bat and come swooping after you And if the last time you were here things were a bit askew Well, you know what happens after dark When rattlesnakes lose their skins and their hearts And all the missionaries lose their bark Oh, all the trees are calling after you And all the venom snipers after you Are all the mountains boulder after you If I could be any one of the things in this world that bite Instead of a dentured ocelot on a leash I'd rather be a kite And be tied to the end of your string and flying in the air, baby, at night 'Cause you know what they say about honey bears When you shave off all their baby hair You have a hairy minded pink bare bear And all the bells are rolling out for you And stones are all erupting out for you And all the cheap bloodsuckers are flying after you Yesterday, Daisy Mae and Biff were groovin' on the street And just like in a movie her hands became her feet Her belly button was her mouth which meant she tasted what she'd speak, ooohhh But the funny thing is what happened to her nose, ooohhh It grew until it reached all of her toes, ooohhh Now, when people say her feet smell, they mean her nose And curtains laced with diamonds, dear for you And all the Roman noblemen for you And kingdom's Christian soldiers, dear for you And melting ice cap mountains tops for you Oh, oh, and knights in flaming silver robes for you And bats that with a kiss turn prince for you Swoop, swoop, oh, baby, rock, rock Swoop, swoop, rock, rock Swoop, swoop, rock, rock ",1972
Rock On," Ooh Hey, kid, rock 'n' roll, rock on Ooh, my soul Hey kid, boogie, too, did ya? Hey, shout, summertime blues Jump up and down in my blue suede shoes Hey, kid, rock 'n' roll, rock on And where do we go from here? Which is a way that's clear? Still looking for that blue jean baby queen Prettiest girl I've ever seen See her shake on the movie screen, Jimmy Dean (James Dean) And where do we go from here? Which is the way that's clear? Still looking for that blue jean baby queen Prettiest girl I ever seen See her shake on the movie screen, Jimmy Dean Jimmy Dean Rock on Rock on Rock on Hey, kid, rock 'n' roll, rock on Rock on Hey, kid, rock 'n' roll, rock on Rock on Hey, kid, rock 'n' roll, rock on Rock on Hey, kid, rock 'n' roll, rock on Rock on Hey, kid, rock 'n' roll, rock on Rock on Hey, kid, rock 'n' roll, rock on Rock on Hey, kid, rock 'n' roll, rock on Rock on Hey, kid, rock 'n' roll, rock on ",1973
Kinky Reggae - Original Album Version,,1973
Tequila Sheila,,1973
Sailing On,,1973
Midnight Ravers - Jamaican Version,,1973
I Miss You (Part 1),,1973
This Is Reggae Music - Single Version,,1973
Slave Driver - Jamaican Version,,1973
Some Kind Of Wonderful - Remastered,,1974
I Happen to Like New York (From the New Yorkers) - Live @ the Carlyle,,1974
Willie And The Hand Jive,,1974
Chant of the Ever Circling Skeletal Family - 2016 Remaster,,1974
Devil Gate Drive,,1974
"Canta Canta, Minha Gente",,1974
Natty Dread,,1974
Them Belly Full (But We Hungry),,1974
Lively Up Yourself,,1974
The Streak - 1974 #1Pop; #3Country Billboard Chart Hit,,1974
Brighton Rock - Remastered 2011,,1974
Tell Me Something Good,,1974
Ragged Old Flag,,1974
Brighton Rock - Remastered 2011,,1974
Green Grass,,1974
Nunca Me Amaron Así,,1974
My Thang - Single Version,,1974
Talkin' Blues,,1974
Nanook Rubs It,,1974
Brighton Rock,,1974
Cosmik Debris,,1974
Red Hot Momma,,1974
Give the People What They Want,,1975
When Seasons Change,,1975
I Got Stoned And I Missed It,,1975
Land: Horses / Land of a Thousand Dances / La Mer(de),,1975
Eggs And Sausage (In A Cadillac With Susan Michelson),,1975
Bohemian Rhapsody - Operatic Section / 2011 A Cappella Mix,,1975
I Can Make You a Man,,1975
P-Funk (Wants To Get Funked Up),,1975
Sweet Transvestite,,1975
Billy Jack,,1975
Somebody up There Likes Me - 2016 Remaster,,1975
The Time Warp (Remix 1989 Extended Version),,1975
Time Warp,,1975
Get Out Of Denver - Live In Detroit/1975,,1976
Nutbush City Limits - Live In Detroit/1975,,1976
Blitzkrieg Bop - 2016 Remaster,,1976
Croaking Lizard,,1976
Dr. Funkenstein,,1976
Rock N Roll,,1976
Dream Land,,1976
Chase The Devil,,1976
Brush Your Teeth,,1976
One Piece at a Time,,1976
Blitzkrieg Bop - 2016 Remaster,,1976
I'd Rather Be with You,,1976
Enjoy Yourself,,1976
Musta Got Lost - Live,,1976
Spider on the Floor,,1976
Rat Race,,1976
Teddy Bear,,1976
Five Little Frogs,,1976
"Dakota the Dancing Bear, Pt. II",,1976
Crazy Baldhead,,1976
Satta Massagana,,1976
Jah Live,,1976
Fighting Against Conviction,,1976
Five Little Pumpkins,,1976
Children Of The World,,1976
Monkey See-Monkey Do,,1976
Crazy Baldhead,,1976
Legalize It,,1976
Have A Talk With God,,1976
So Much Things To Say,,1977
Woncha Come On Home,,1977
Paddy Lay Back,,1977
Wang Dang Sweet Poontang,,1977
Rubber Duckie,,1977
"War / No More Trouble - Live At Rainbow Theatre, London/1977",,1977
Natural Mystic,,1977
Shake My Sillies Out,,1977
Waiting In Vain,,1977
One Love / People Get Ready - Medley,,1977
I Love To Boogie,,1977
Welcome To The Working Week,,1977
"Get Down, Make Love - Remastered 2011",,1977
Funk Funk,,1977
Holidays in the Sun,,1977
Jungle Love,,1977
What in the World - 2017 Remaster,,1977
She's Gone - Kaya 40 Mix,,1978
We Go Together - From “Grease”,,1978
English Civil War - Remastered,,1978
Warm Leatherette,,1978
Rosalinda's Eyes,,1978
"Spanish Moon - Live at Lisner Auditorium, Washington, DC, 8/8/1977",,1978
A Brand New Day,,1978
Smile Jamaica - Single Version,,1978
Running Away,,1978
Opening: I Can't Turn You Loose - Live,,1978
Jungle Love,,1978
Can't Stand Losing You,,1978
Raise A Little Hell,,1978
Time Will Tell,,1978
Grinding Halt - 2005 Remaster,,1979
Ambush In The Night,,1979
Fool On The Street,,1979
Outta Love Again - 2015 Remaster,,1979
Bottoms Up! - 2015 Remaster,,1979
Natural's Not In It,,1979
Grow Old with You,,1979
Christmas Is Coming,,1979
Rapper's Delight - Long Version,,1979
At Home He's A Tourist,,1979
I Do Love You,,1979
The White Collar Holler,,1979
A Lesson In Leavin',,1979
Who's Been Sleeping In My Bed - Digitally Remastered: 1998,,1979
Broken Hearts Are For Assholes,,1979
One Drop,,1979
Hot On Heels of Love - Remastered,,1979
Crew Slut,,1979
Fire in Cairo - 2005 Remaster,,1979
Barret's Privateers,,1979
Rolling Down to Old Maui,,1979
Wango Tango,,1980
Inglan Is A Bitch,,1980
Running Free - 2015 Remaster,,1980
Ice Cream Love,,1980
Dirty Mind,,1980
Am I Evil?,,1980
Heartattack And Vine,,1980
Don't Try Suicide - Remastered 2011,,1980
I Remember - Millions of Dead Cops - Full Length,,1980
Day O,,1980
Mellow Mood,,1980
Iron Maiden - 2015 Remaster,,1980
Real Situation,,1980
Funkin' for Jamaica,,1980
Nine Tonight - Live/Remastered,,1981
Gimmie Gimmie Gimmie,,1981
Tiburón,,1981
Haboglabotribin',,1981
Planet Earth - 2010 Remaster,,1981
Wango Tango,,1981
The Twelve Days Of Christmas,,1981
I Am the Very Model of a Modern,,1981
A Cry for Help in a World Gone Mad,,1981
The Full Bug - 2015 Remaster,,1982
She Got the Goldmine (I Got the Shaft),,1982
Bad Boy / Having a Party,,1982
Olvídame y Pega la Vuelta,,1982
Tell Me Something Good,,1982
The Message (feat. Melle Mel & Duke Bootee),,1982
Atomic Dog,,1982
The Adventures of Grandmaster Flash on the Wheel of Steel,,1982
I'll Do Anything for You,,1982
Cool Down The Pace,,1982
Prologue: Jellicle Songs For Jellicle Cats,,1983
Juicy Fruit,,1983
Poor You,,1983
Phantom Lord (Remastered),,1983
Hit The Lights (Remastered),,1983
Phantom Lord (Remastered),,1983
The Four Horsemen (Remastered),,1983
Trench Town,,1983
Buffalo Soldier,,1983
Bark at the Moon,,1983
Seek & Destroy (Remastered),,1983
The Four Horsemen (Remastered),,1983
Seek & Destroy (Remastered),,1983
Add It Up,,1983
Jump Nyabinghi,,1983
Hit The Lights (Remastered),,1983
Stiff Necked Fools,,1983
Give Thanks & Praises,,1983
Top Jimmy - 2015 Remaster,,1984
One Love / People Get Ready - Medley,,1984
Jam-Master Jay,,1984
It's Yours (Radio Mix),,1984
These Things Take Time - David Jensen Session 26/06/83,,1984
Waiting In Vain,,1984
"Get Up, Stand Up",,1984
La Mesera,,1984
Boogie Woogie Bugle Boy,,1984
Trapped Under Ice (Remastered),,1984
Viet Nam,,1984
Ku Klux Klan,,1984
Trapped Under Ice (Remastered),,1984
Buffalo Soldier,,1984
Bonded by Blood,,1985
Bitchin' Camaro,,1985
Octopus (Slippery Fish),,1985
The Exorcist,,1985
Master of the House,,1985
MTV-Get Off the Air,,1985
Ron Y Coca Cola,,1985
I Can't Live Without My Radio,,1985
Last Rites / Loved to Deth,,1985
Party at Ground Zero,,1985
Chosen Ones,,1985
Killing Is My Business...And Business Is Good!,,1985
Luang Prabang,,1985
Time To Get Ill,,1986
Slow Ride,,1986
Aviéntame,,1986
My Adidas,,1986
Pass The Peas,,1986
Posse In Effect,,1986
Gumboots (with Boyoyo Boys),,1986
Slow And Low,,1986
Big a Little A,,1986
Peter Piper,,1986
The New Style,,1986
One Vision - Remastered 2011,,1986
"Hold It Now, Hit It",,1986
Good Mourning / Black Friday - Remastered,,1986
Devils Island - Remastered,,1986
Seis Rosas Amarillas,,1986
Raised on Radio,,1986
Paul Revere,,1986
Brass Monkey,,1986
Caballo Viejo,,1986
I'm a Ho,,1986
I'll Take Your Man,,1986
She's an Angel,,1986
Ballet - Live,,1986
Wake Up Dead - Remastered 2011,,1986
Marijuana - Live,,1986
Eric B. Is President,,1987
"Civilization (Bongo, Bongo, Bongo) - Single Version",,1987
Alfredo Galeana,,1987
Lucio Peña,,1987
Christmas In Hollis,,1987
I Know You Got Soul,,1987
The Ultra-Violence,,1987
"Civilization (Bongo, Bongo, Bongo) - Single Version",,1987
6 'N the Mornin',,1987
The Bridge Is Over,,1987
Tom's Diner,,1987
Boyz-N-The-Hood,,1987
Dope Man,,1987
Get Up Offa That Thing,,1987
I'm Bad,,1987
Paid In Full,,1987
I Need Love,,1987
Mi Caballo Pobre,,1987
