song,lyrics,year
Persian Rug," Colombian drugs, but she's straight from Decatur Thought you were Colombian Are we turning up? Or are we wasting time? Girl, please don't waste my time You know I'm Jacquees I don't just wanna chill, with you Oh, I wanna turn up on I wanna turn you on I wanna lay with you Jacquees gon' do what it do When we fucking, I be catching chills I'm licking on ya I want you to feel Can you feel it babe? Can you feel it baby? Can you feel me babe? Can you feel me baby? Say yeah ...Screaming so loud I'm fucking you like a pro Said baby fuck with a pro Yeah, imma give you just what you want Yeah, said give her just what she wants Tonguing her right Dicking her slow I'm dicking her slow, oh oh oh oh oh Fuck with ya boy Yeah, I'll be, I'll be, I'll be, I'll be Said, I'll be.. I'll be... Colombian drugs Are we, are we turning up? Are we turning up? Are we, are we turning up? Are we turning up? Girl, you burning up Girl, we burning up Girl, we turning up Girl, you're turning up Girl, we burning up Girl, we burning up ",1939
On His Way, Christmas is always my favorite time of year Sleighbell's ringin' jingle lingin' Christmas time is near Can't wait to build a snowman And play outside all day Nothing could be better I gotta write a letter Santa's on his way Christmas time is always A special time of year A time for joy and happiness And lots of Christmas cheer Can't wait to decorate the tree That we brought home today Nothin' could be better I gotta write a letter Santa's on his way So have a very Merry Christmas And a jolly happy day Nothin' could be better I gotta write a letter Santa's on his way Santa's on his way Santa's on his way ,1939
Tempo Ruim," Eu sou o Deus da Guerra, no meu peito rufam tambores Tocados em ritos, criados sobre o grito de dores Angústia do porão, desejo de vingança, solidão Piedade, hoje não, talvez quando eu tinha um coração A meta: Construir outros quinhentos E tô disposto a morrer, igual cada um dos trezentos Espartanos, o que vocês são? (Ahu!) Mudo e mando: Manos, o que vocês são? (A Rua!) Nosso alimento é o medo no olhar do oponente Tombando em frente, sentindo o que há tempos a gente sente Logo beijem suas mulheres, beijem pra eternizar Devemos considerar a possibilidade de não voltar E não cobrar a diáspora Vim matar meus inimigos igual Sun Tzu, e isso não é uma metáfora Os meus reconheço pela conduta Prepare os seus, hoje verá que um filho teu não foge a luta Adeus Adeus (Seja como Deus quiser) Meu amor, não esqueça de mim (Não, não) Vou rezar pra ter bom tempo, meu nego Pra não ter tempo ruim Me botaram tão pra baixo aqui Que do ponto onde cheguei, só era possível subir Guardei toda mágoa, pra com ela regar meu rancor Alimentar minha raiva, devolver em forma de dor Magrelo da perna comprida, com ódio pra mais de uma vida No campão visto como besta Na mente o diabo fazendo hora extra, hey! Quem já viu o que vi, não faz questão de replay A lei dos canalha fez a vida cheia de falha Por isso minha existência (hoje) só tem sentido na batalha Onde o normal é não ter pai, esperar a mãe que não vem Sentir frio, fome, não ter o que todo mundo tem Ter vergonha do espelho, aliás, se espelhar em quem? Pular uns corpos do caminho, achando que isso é normal também O que resta? Lutar pra se sentir vivo Hoje MC's querem festas, eu ainda quero motivos Adeus Adeus (Seja como Deus quiser) Meu amor, não esqueça de mim (Não, não) Vou rezar pra ter bom tempo, meu nego Pra não ter tempo ruim Avisem que Zumbi voltou, tá ligado, a hora do ""Bum"" Cês vão lembrar que o punho cerrado é mais que o logo da Slum Nego Nagô, trago nos olhos Xangô e Ogum Caem fracos, não se carrega peso morto, essa é a regra um Via massacre todo dia Ganhei que se inocência fosse segurança, criança não morria Minha esperança morreu cedo, e ao invés de sentir medo da matança O resto de mim jurou vingança Uno os maloqueiros, pra honrar os em memória Uns dizem que faz dinheiro, (será?), a gente faz história Eles são porcos num chiqueiro de inglória Irmão, cê não acha que se explica demais pra quem tem razão? Há anos manos traficam no quintal Se coxinhas não vêem sua parte causa um funeral Pretos amontoados por um racismo brutal Não tem justiça, quero vingança, foda-se, agora é pessoal! Adeus Adeus (Seja como Deus quiser) Meu amor, não esqueça de mim (Não, não) Vou rezar pra ter bom tempo, meu nego Pra não ter tempo ruim ",1939
Truth Freed Me," I can't hold my head up in this dark room anymore I need a lightning bolt to raise me from this grave Here comes fresh fire Fresh fire, fresh fire So infatuated by the darkness and so surrounded by the light Oh my God, save my soul And still I want what's pure and want what's right But I need another fix tonight Oh my God, save my soul Beneath her glowing eyes that call like fire to a moth The most disgusting lies are dressed in beauty that'll rot Oh my God, you've won the coldest battle we've fought Deliverance is mine, from more of this beauty that'll rot Mirror mirror on the wall, will there be glory if I fall? Oh my God, save my soul I need a faith that's solid as concrete, but the impact's broken both my knees Oh my God, save my soul Beneath her glowing eyes that call like fire to a moth The most disgusting lies are dressed in beauty that'll rot Oh my God, you've won the coldest battle we've fought Deliverance is mine, from more of this beauty that'll rot Don't wanna rot I can't hold my head up in this dark room anymore I need a lightning bolt to raise me from this grave Here comes fresh fire Breathtaking blinding truth, freedom I never knew Oh my God, you've won the coldest battle we've fought Deliverance is mine, from more of this beauty that'll rot ",1939
Line 'Em," Thank you ladies and gentlemen! Hold your applause J'yeah, holla! Its bout to go down, shut em down! Just Blaze, Freeway! Young Chris! Young Guru! The Roc is definately in the building! J'yeah! uh, holla! uh oh! uh oh! uh oh! uh! J'yeah, listen, if the rhymes stop dumpin and beats stop knockin then Free still fuckin with Beans R-U to the G-S, manuver the ve throughout the U.S. with two teks of keys one start up your whip and the other start up your block retarded just like a Carter El Nino come take a sniff or take a few of you like the glass zit Stick shit in your artery ooouuu Hustlin's a part of me Niggas retardin me Come at the team wrong its like a see-saw They down and we up The pound heat clowns up I'm moving and re-up teks, blocks and keep gon' ?? and cocks like a school bus (why?) It make stops and it picks kids up and it wake up the block really early in the mornin Word, niggas want drama? Then line em up! Uh uh uh Line em up! Uh uh uh Line em up! Uh uh Line em up! I, I shut em down! Listen, if the coke stop jumpin and the block stop poppin Then Free still fuckin with Schi! M to the is-ash, come down with the gat take your sti-ash and kidnap your keeps One, puff in my face and the other go in your face Reatrded? This is a stick up if you slow then pick up the pace I came to take everything out your safe and even snatch all your jewelry (oouuu) Robbins a part of me, you just oughta be singin the same song when money low Ain't no parameters, snatch chains even honeys know amateurs get state green's and hit with 24 months From playin the game long, the eight long Make pockets short snatch hair and bones weight They been taking from us for too long it ain't wrong Line em up and I jam em all yo! They want a war with the Roc? OKAY! Cases catch 'em and beat 'em like O.J. I been stretchin my d's since the O'Jays Before I met Beans and Free, before Jay Homie, Pops never was there so I hustled 24 7 like the cops never was there Yeah, fuck a box cause the metal was there Fuck the cops cause the Fed's was paid I been settled for years, I'm ahead of my years Tuck the glock come pedal with K's We can settle it here We run with this beef, we runnin his peeps Like five in the mornin while they under them sheets (wake up) Like five gats drawn, soldiers come out they sleep Tell me what they gon' tell me when the gun out they reach Homie, we ain't gotta cheat Y'all ain't stopping Sig Young Gunner startin p. guard from State Property ",1939
Big Fat Woman," dashing through these hos, cadillac's and sixty 'fo's, on three wheels we go, clocking lots of doe, Cellphone ringtone ring, my song ""Because I Got High"", smoking weed while I watch, the police flying by! Oh, jinglebell, East Palmdale Jobe is back and not whack, Oooh found your daughter and you finally caught 'er and you mad 'cuz I'm black, ahaha I fucked her good, just like I should, I think I blew her balloon, I didn't use a condom and now we have a problem: she havin' my baby in June (say what?!) I know this holiday hooker, I think her name is Jan, and if you 'aint got no money (hell yeah), she's got a layaway plan, I got a blowjob from her friend, I think her name is Gwen, my dick plugged up her mouth; she couldn't get no oxygen! Oh jinglebell, county jail, Jobe's from the hood, skinny women suck my dick real good but their butt cheeks feel like wood (ouch!) I be swimmin, in big fat women, when I'm in the sack (ooh!) why have a skinny little bicycle bitch when I can ride a Cadillac?! I met this beautiful woman, she said she was Hawaiian, she said she didn't like black guys, however she was lyin' she'd seen my go detonas, all my coupes and cash, she licked my hairy balls, like chocolate coconuts! Oh, jinglebell, shotgun shell, sheriff got a gun, he pulled the trigger, shot that nigger look at that mo' fucka run! hit 'im in the head kicked him in the ass, put a kneecap in his chest, went to the court, and told the judge, ""This man was resisting arrest!"" ",1939
Blue Tail Fly," When I was young I used to wait On the boss and give him his plate And Pass the bottle when he got dry And brush away the blue-tail fly Jimmy crack corn, and I don't care Jimmy crack corn, and I don't care Jimmy crack corn, and I don't care My master's gone away And when he'd ride in the afternoon I'd follow after with a hickory broom The pony being rather shy When bitten by a blue-tail fly Jimmy crack corn, and I don't care Jimmy crack corn, and I don't care Jimmy crack corn, and I don't care My master's gone away One day he ride around the farm The flies so numerous they did swarm One chanced to bite him on the thigh The devil take the blue-tail fly Jimmy crack corn, and I don't care Jimmy crack corn, and I don't care Jimmy crack corn, and I don't care My master's gone away The pony run, he jump, he pitch He threw my master in the ditch He died and the jury wondered why The verdict was the blue-tail fly Jimmy crack corn, and I don't care Jimmy crack corn, and I don't care Jimmy crack corn, and I don't care My master's gone away They lay him under a 'simmon tree His epitaph is there to see ""Beneath this stone I'm forced to lie The victim of a blue-tail fly"" Jimmy crack corn, and I don't care Jimmy crack corn, and I don't care Jimmy crack corn, and I don't care My master's gone away The master's gone away ",1939
Pussy Willow," In the half-tone light of a young morning she sighs and shifts on the pillow. And across her face dancing, the first shadows fly to kiss the Pussy Willow. In her fairy-tale world she's a lost soul singing in a sad voice nobody hears. She waits in her castle of make-believing for her white knight to appear. Pusy Willow --- down fur-lined avenue brushing the sleep from her young woman eyes. Runs for the train --- see, eight o'clock's coming cutting dreams down to size again. Pussy Willow --- down fur-lined avenue brushing the sleep from her young woman eyes. Runs from the train. Hear her typewriter humming cutting dreams down to size again. She longs for the East and a pale dress flowing an apartment in old Mayfair. Or to fish the Spey, spinning the first run of Spring or to die for a cause somewhere. Pussy Willow --- down fur-lined avenue brushing the sleep from her young woman eyes. Runs from the train. Hear her typewriter humming cutting dreams down to size again. ",1940
Rock Island Line," Now, this here's the story about the Rock Island line Now, the Rock Island line is a railroad line And it runs down into New Orleasn And just outside of New Orleans is a big toll gate And all the trains that go through the toll gate Why, they gotta pay the man some money Less of course, they got certain things on board Then they okay, then they don't ever have to pay the man nothin' And right now, we see a train She's comin' on down the line And when she got up here to the toll gate The-a depot, he shout down to the driver He want to know what he got on board So he say a What you got on board there, boy And the driver, he sing right on back Down to the depot agent Tell him what he got on board The got a way of singing I got sheep, I got cows I got horses, I got pigs I got all livestock I got all livestock I got all livestock And the man say, well, he say Your alright there, boy You don't have to pay me nothin' Just get 'em on through So the train go through the toll gate And as it go through It got up a little bit of steam And a, a little bit of speed And when he sees me On the other side of the toll gate They, the driver shout back Down the line to the man 'Course you don't hear what he say now But home down the Rock Island line I fooled you, I fooled you I got pig iron, I got pig iron I got all pig iron He said, tell you where I'm goin', boy Goin' down the Rock Island line, yes, yes She's a mighty good road Oh well, the Rock Island line She's a mighty good road Rock Island line is the road to ride Ya, the Rock Island line Is a mighty good road And if you want to ride You gotta ride it Like you find it Get your ticket at the station On the Rock Island line Well, I may be right I may be wrong I know you're gonna miss me when I'm gone Ya,the Rock Island line She's a mighty good road Rock Island line is the road to ride Ya, the Rock Island line She's a mighty good road And if you want to ride You gotta ride it Like you find it Get your ticket at the station On the Rock Island line A B C, W X Y Z Cat's in the cupboard But he don't see me Now, the Rock Island line She's a mighty good road Rock Island line is the road to ride Ya, the Rock Island line She's a mighty good road And if you want to ride You gotta ride it Like you find it Get your ticket at the station On the Rock Island line Hallaluah, I'm safe from sin The good Lord's comin' For to see me again Keep it goin' And the Rock Island line She's a mighty good road Rock Island line is the road to ride Ya, the Rock Island line She's a mighty good road And if you want to ride You gotta ride it Like you find it Get your ticket at the station On the Rock Island line The Rock Island line She's a mighty good road Rock Island line is the road to ride Ya, the Rock Island line She's a mighty good road And if you want to ride You gotta ride it Like you find it Get your ticket at the station On the Rock Island line ",1940
Slap Happy," I'm not a very violent person I generally tend to, ya know, talk things out before getting too physical. But every once in a while when it feels like I'm just- I'm just not getting my point across, I just start SLAPPING PEOPLE! HARD! Listen to my words, welcome to the show The J to the O, if ya don't know I See a whole lot of people, but there's not enough rows So ya gonna get slapped in the face We got the furnace turned up, come on in from the cold Now everybody clap when I dance, watch me go If there's anything you need, don't be shy, let me know But ya gonna get slapped in the face! I'll slap you across the face when you least expect it Run up and slap you across the face while you eatin' breakfast I'll dip my hand in holy water, ask the priest to bless it Break in and slap you across the face during your weeks confession I'll slap you across the face like Brad Pitt in Fight Club I'll slap you across the face wearing a steel knight's glove I'll slap you across the face, over and over Till you back up to the edge of a cliff then give you a slight shove! I'll slap you across the face with a velvet locket With pictures of me and a Shrink I've been seeing to help me stop it I'll slap you across the face so hard Anybody within a mile radius would swear a manta ray was belly floppin' I'll slap you across the face with a brick of cinder I'll slap you across the face with an operational kitchen blender I'll slap you across the face with a live chicken Kill it, fry it, then slap you again with it as chicken tenders, I'm ridiculous! Listen to my words, welcome to the show The J to the O, if ya don't know I can See a whole lot of people, but there's not enough rows So ya gonna get slapped in the face We got the furnace turned up, come on in from the cold Now everybody clap when I dance, watch me go If there's anything you need, don't be shy, let me know But ya gonna get slapped in the face! I feel as if ya face was made for slappin' I take you out drinking then slap ya face with the card that we paid a tab with I'll slap you till you catch on, and take evasive action Then start to slap you in increasingly more creative fashions I'll sneak up behind you and slap you at the super market Hold some chocolate milk up to your face and slap you through the carton I'll break into your car, wait for you to come and start it Then slap you across the face with the crap in your glove compartment I'll slap you across the face while I'm askin' you questions With impossible answers, then slap you for havin' to guess em' I'll tie prosthetic hands to ceiling fans Hold you up to em' and slap you across the face in rapid succession I'll reach out from your laptop, and slap you while you blogging Hide out in the mailbox, reach up and slap you while you jogging I'll befriend you for years, manufacture my own death Then when you come to my wake, reach up and slap you from my coffin, I'm ridiculous! Listen to my words, welcome to the show The J to the O, if ya don't know I can see a whole lot of people, but there's not enough rows So ya gonna get slapped in the face We got the furnace turned up, come on in from the cold Now everybody clap when I dance, watch me go If there's anything you need, don't be shy, let me know But ya gonna get slapped in the face! I'll slap you with anything that you own I'll slap you with a dismembered chunk of your tempur pedic mattress foam I'll slap you at the office, I'll slap you at your home I'll stick my hand through the ear-piece and slap you through the phone No matter where you go, my slaps are sure to find you I'll get a job at McDonald's and slap you through the drive-thru And when I slap you enough, you'll get amnesia and forget who I am I'll introduce myself, and slap you to remind you I run at the speed of light, time travel and cause commotion Past present and future, I slap you from all approaches I'll slap you post-mortem after cracking your coffin open Then slap you before conception by slapping your fathers scrotum I'll slap you in December. I'll slap you in July I'll slap you across the face once for each digit of pi I'll slap you till you stop moving, I'll slap you till you die And on your way to Heaven, I'll jump up and slap you out the sky, I'm ridiculous! Listen to my words, welcome to the show The J to the O, if ya don't know I can see a whole lot of people, but there's not enough rows So ya gonna get slapped in the face We got the furnace turned up, come on in from the cold Now everybody clap when I dance, watch me go If there's anything you need, don't be shy, let me know But ya gonna get slapped in the face! ",1940
Whispering Grass," Why do you whisper, green grass? Why tell the trees what ain't so? Whispering grass, the trees don't have to know, No, no. Why tell them all your secrets? Who kissed there long ago? Whispering grass, the trees don't need to know. Don't you tell it to the breeze 'Cause they will tell the birds and bees And ev'ryone will know Because you told the blabbering trees. Yes, you told them once before, It's no secret any more. Why tell them all the old things? They're buried under the snow. Whispering grass, don't tell the trees 'Cause the trees don't need to know. Why tell them all the old things? They're buried under the snow. Whispering grass, don't tell the trees 'Cause the trees don't need to know. ",1940
You Took Advantage of Me," I'm a sentimental sap, that's all What's the use of trying not to fall? I have no will, you've made your kill 'Cause you took advantage of me! I'm just like an apple on a bough And you're gonna shake me down somehow So, what's the use, You've cooked my goose 'Cause you took advantage of me! I'm so hot and bothered that I don't Know my elbow from my ear I suffer something awful each time you go And much worse when you're near Here I am with all my bridges burned Just a babe in arms where You're concerned So lock the doors and call me yours 'Cause you took advantage of me. ",1940
Ko-Ko," Hmm hmm Shimmie shimmie Ko Ko Bop I think I like it Ginjangeun Down down bukkeureo malgo Eojireoun mamsoge naega deureoga Iksukan deut budeureopge nege beonjeo ga Ah woo goyohan bamiya Ah woo neol wihan bamiya Chameul suga eopseo ppajeo ga Yeah yeah Neoye momjjise nan chwihae ga Yeah yeah Niga aldeon ppeonhan moseube nareul ijeo oneul Sumgyeo dun bonneungi Shimmie up It goes down down baby Rideume onmomeul It goes down down baby Matgigo soricheo Oh oh oh urin Oh oh oh We going Ko Ko Bop Shimmie shimmie Ko Ko Bop I think I like it Jogeumsshik Down down sujubeo malgo Nuga mweoraedo neon shingyeong sseuji mareo Jigeum idaero areumdapgiman hae Meomchweo beoryeosseum hae Baby are you down Ah woo majimak bamiya Ah woo dulmane bamiya Ginjanghaji malgo dagawa Yeah yeah Ni modeun geol naege matgyeo bwa Yeah yeah Jeomjeom pullyeo ganeun goppi Deo naeryeonwa oneul Nunchi boji malgo Shakin' up It goes down down baby Rideume onmomeul It goes down down baby Matgigo soricheo Oh oh oh urin Oh oh oh Break it down now We go down now Listen Bameun gipeodo deo binnaneun neo Neoye geu nunppichi da naege malhae Gibun joeun bam neon weonhago isseo Ara It's ok ije shijakae (Let's go) It's about to go go Down down baby Rideume onmomeul It goes down down baby Matgigo soricheo Oh oh oh urin Oh oh oh Going Ko Ko Bop Down down baby Gwitgae soksagyeo It goes down down baby Nae mameul bultaeweo Oh oh oh micheo Oh oh oh Going Ko Ko Bop Hmm hmm Shimmie shimmie Ko Ko Bop I think I like it 긴장은 Down down 부끄러 말고 어지러운 맘속에 내가 들어가 익숙한 듯 부드럽게 네게 번져 가 Ah woo 고요한 밤이야 Ah woo 널 위한 밤이야 참을 수가 없어 빠져 가 Yeah yeah 너의 몸짓에 난 취해 가 Yeah yeah 니가 알던 뻔한 모습의 나를 잊어 오늘 숨겨 둔 본능이 Shimmie up It goes down down baby 리듬에 온몸을 It goes down down baby 맡기고 소리쳐 Oh oh oh 우린 Oh oh oh We going Ko Ko Bop Shimmie shimmie Ko Ko Bop I think I like it 조금씩 down down 수줍어 말고 누가 뭐래도 넌 신경 쓰지 말어 지금 이대로 아름답기만 해 멈춰 버렸음 해 Baby are you down Ah woo 마지막 밤이야 Ah woo 둘만의 밤이야 긴장하지 말고 다가와 Yeah yeah 니 모든 걸 내게 맡겨 봐 Yeah yeah 점점 풀려 가는 고삐 더 내려놔 오늘 눈치 보지 말고 Shakin' up It goes down down baby 리듬에 온몸을 It goes down down baby 맡기고 소리쳐 Oh oh oh 우린 Oh oh oh Break it down now We go down now Listen 밤은 깊어도 더 빛나는 너 너의 그 눈빛이 다 내게 말해 기분 좋은 밤 넌 원하고 있어 알아 It's ok 이제 시작해 (Let's go) It's about to go go Down down baby 리듬에 온몸을 It goes down down baby 맡기고 소리쳐 Oh oh oh 우린 Oh oh oh Going Ko Ko Bop Down down baby 귓가에 속삭여 It goes down down baby 내 맘을 불태워 Oh oh oh 미쳐 Oh oh oh Going Ko Ko Bop Shimmie shimmie, Ko Ko Bop I think I like it Let your guard down down Don't be embarrassed I work my way into your dizzy heart Spread through you softly, like something familiar Ah woo, it's a calm night Ah woo, a night all for you Unable to help it, I fall for you, yeah yeah I get drunk on your movements, yeah yeah Forget what you knew about me today Hidden instincts shimmie up It goes down down baby Leave your body to the rhythm It goes down down baby Let it go and scream, oh, we're, oh We going Ko Ko Bop Hey! Shimmie shimmie Ko Ko Bop I think I like it Bit by bit, let it down down Don't be shy Don't pay attention to what anyone says Just be beautiful like you are right now I want time to stop like this, baby are you down? Ah woo, it's our last night Ah woo, a night just for us Don't be nervous and come to me, yeah yeah Leave it all to me, yeah yeah Slowly losing control, let it all go today Don't care what anyone else thinks, shaking up It goes down down baby Leave your body to the rhythm It goes down down baby Let it go and scream, oh, we're, oh… Break it down now Hey! We go down now (Listen!) In the deep night you shine even brighter Your eyes tell me everything I want you on this great night I know, it's okay, start now Let's go! It's about to go go Down down baby Leave your body to the rhythm It goes down down baby Let it go and scream, oh, we're, oh Going Ko Ko Bop Down down baby Whisper by my ear It goes down down baby Burn up my heart, oh, I'm going crazy, oh Going Ko Ko Bop ",1940
Acende a Luz," Quero voltar pra você Quero de volta o meu lugar Não sou feliz sozinho Não sei bem qual é o caminho Eu não vou a lugar nenhum sem você Não tenho lugar pra voltar Eu estive só, estive sozinho Quanto tempo foi perdido Acende a luz Que eu quero ver você aqui pra mim Essa é o dia que eu tanto esperei Esquece tudo agora Só existe a gente aqui Então se deite e me beije E se solte muito mais Vou me embriagar de você Eu vou me embriagar de você Vou me embriagar de você Eu vou me embriagar de você Quero voltar pra você Quero de volta o meu lugar Não sou feliz sozinho Não sei bem qual é o caminho Eu não vou a lugar nenhum sem você Não tenho lugar pra voltar Eu estive só, estive sozinho Quanto tempo foi perdido Acende a luz Que eu quero ver você aqui pra mim Essa é o dia que eu tanto esperei Esquece tudo agora Só existe a gente aqui Então se deite e me beije E se solte muito mais Vou me embriagar de você Eu vou me embriagar de você Vou me embriagar de você Eu vou me embriagar de você Sorrir, chorar, viver Tentar entender essas coisas malucas da vida Que bom que é ter você Você é a melhor coisa que eu tenho na vida Sorrir, chorar, viver Tentar entender essas coisas malucas da vida Que bom que é ter você Você é a melhor coisa que eu tenho na vida ",1940
Опг," Биг бой на худе Ай, сука базарит (сука базарит) Сука много базарит (очень много) (Let's go, let's go) Мои пацаны — ублюдки, мы диаспора (wait) 2 0 1 9, мы новая мафия (да) Виктория Бекхэм хочет со мной трахаться Длинные листья меняют моё сознание (кэш) ОПГ сити (ОПГ), ОПГ сити (ОПГ) ОПГ сити (ОПГ), ОПГ сити (ОПГ) ОПГ сити (ОПГ), ОПГ сити (ОПГ) ОПГ сити (ОПГ), ОПГ сити (ОПГ) Говно в пакетах, мы на трапе, е Большая скорость, как на трассе, е Backwood, крошу scanna nuggets, а Я на трапе большой тарантул, е Hoe старается мне понравиться Соси мой хуй, сука, это твоё задание Орг хочет, чтобы я зачитал в пятницу (wassup) Пускай готовит сумму шестизначную (кэш, много) У меня есть шутера в Измайлово Я поп-звезда, но, как и все, начинал с паблика (поп-звезда) Пришёл за кассой, рэп-игра не лояльная Все такие уникальные, что делают одинаково Мы тебя бесим, хомбой? Меня это радует, факбой На связи Лондон — топбой, 300к на карте, я Playboy И твоя блядь уедет со мной Я влюбляю её в эту ночь (она маленькая шлюха) Сука, горим сегодня (огонь), я рассыпаю весь порох (сапатит) Плохая сука сапатит, во всём виноваты ноздри Впечатлило её тело, теперь твоя блядь на биг бое Нас здесь только двое, значит она так хочет Без доупа меня кроет, без доупа мне плохо Тысячи сук, но мне одиноко, сейчас трап — это модно Мы стояли у истоков, и на мне весь этот опыт И на все эти шмотки, дизайнер, я знаю, ты хочешь Я знаю не один способ (да, способ, да) Эти купюры, они с ума сводят (кэш) Мы высоко, как небоскрёбы На трапе (троп), мой образ не обманчив (нет) Да, я настоящий, соси меня, если уважаешь (sloppy toppy) Братва рвётся к власти Не трогай мою суку, на мне ствол в этой кожанке (ту-ту-ту-ту) Это классика жанра (да, классика) Вернули девяностые на кварталы (блок-блок-блок) Я не жадный (нет), но заберу своё для своей же мамы (мамы) И я рос без папы, но впитал в себя лучшее от бати (кэш) ОПГ сити (ОПГ), ОПГ сити (ОПГ) ОПГ сити (ОПГ), ОПГ сити (ОПГ) ОПГ сити (ОПГ), ОПГ сити (ОПГ) ОПГ сити (ОПГ), ОПГ сити (кэш) ОПГ сити (ОПГ), ОПГ сити (ОПГ) ОПГ сити (ОПГ), ОПГ сити (ОПГ) ОПГ сити (ОПГ), ОПГ сити (ОПГ) ОПГ сити (ОПГ), ОПГ сити (ОПГ) ",1941
Blaque-Blaque," System loading Ready Welcome and thank you for choosing The Bionic Linium Acoustic Quadrosonic Sound System, or in short, Blaque. Your selections have been digitally mastered and ready for playback. So prepare for the ultimate entertainment experience. ",1941
Zum neuen Jahr," Wir starten vom goldenen Tal, umgeben von Bergen und Wäldern Mit Arbeitervisum Richtung Industrieländer des Westens Bolan gdje ces? Njemacka, Svicarska, Austria Telefunken Fernseher, Puma Teneske bring' ich dir mit zum neuen Jahr Diaspora, von der Heimat entfernt Der eine hat's leicht, der andere schwer Manche leben sich ein, manche bleiben fremd Nicht nur Akzent wird weitervererbt Kampf um Existenz, Gastarbeiter Ist der Status, Gelenke kaputt Sechziger, Siebziger, Achtziger, Aufschwung Familienplanung, Wohnung und Auto Rest vom Gehalt geht nach unten für Hausbau Als Ausländer musst du dich doppelt beweisen Sagte mein Vater, als ich noch klein war Herkunft: Balkan, auch bekannt als Blut- und Honig, Pulverfass Europas Alle fünfzig Jahre führen wir Kriege Schließen dann Frieden und betrinken uns wieder Sarajevo, Sarajevo, Sarajevo 1400 Tage Belagerung Sarajevo, Sarajevo, Sarajevo Gib ihn'n Kickdown durch die Sniper Avenue Haveru, oko moje, ne da te Dijaspora tvoja Zerstreut auf den ganzen Globus, Toronto bis zum Bosporus Als die Welt versagt hat, keiner da war Vereinte Nationen, Embargo Schwarzmarkt Kein Strom und kein Wasser, Grenzen geschlossen Den Tod vor Augen, nur noch beten und hoffen (beten und hoffen) Dreihundert Jahre vergehen, Cousin hat posttraumatische Schäden Was soll ich erzähl'n? Über Bosnien, Brücke zwischen dem Orient und Okzident Daimler-Benz in weiß, von der Heimat weit 999.000 Kilometer verschleißt Ach, sogar der Tacho hat kein'n Bock Und es geht wieder von vorn, alles ist auf Null, Zero, O Bis zur Rente Arbeit, hier bin ich Mensch, hier darf ich sein Diaspora, Diaspora, Diaspora-a-a Mit Familie vereint, sechs Wochen Urlaub, wieder bye bye Diaspora, Diaspora, Diaspora-a-a Diasporid, Ab-D-I el Ommali Babylonisches Exil, 60529 Goldstein-Süd Auf die Frage, ob ich Deutscher bin Kann ich nur sagen, dass ich in jedem Falle gerne in Deutschland bin Und dann stellt euch mal hin, in einem Land, in dem ihr lebt Vielleicht sogar geboren seid und sagt: ""Scheißegal, mich juckt nix"" Okay, was würde Vater sagen? Oha, der sein Leben lang bis zur Ohnmacht am malochen war, mein Bra Ich sitz' hier grad im Kinderzimmer in 'ner Sozialbauwohnung Und würd' am liebsten ins Wohnzimmer geh'n, nun sag mal, Homie Smah li, ich mein'n Daddy, pardon Auf dem Handy hab' ich dich gespeichert unter ""Patrón"" Sag mir, wie war's, als ihr hierher nach Europa kamt? Nun, mein Sohn, ich war achtzehn Jahre alt und einhalb Ich kam aus , ritt auf Eseln zu Brunn'n Und Elektrizität gab es vergeblich, mein Junge Ja, min Jung, da war ich nun Schickte jeden Monat 'ne Stange Para deiner Mami zu Da war Abdi nur 'ne Flüssigkeit, das war's, Spaß Das hat er natürlich nicht gesagt, Mann Daimler-Benz in weiß, von der Heimat weit 999.000 Kilometer verschleißt Ach, sogar der Tacho hat kein'n Bock Und es geht wieder von vorn, alles ist auf Null, Zero, O Bis zur Rente Arbeit, hier bin ich Mensch, hier darf ich sein Diaspora, Diaspora, Diaspora-a-a Mit Familie vereint, sechs Wochen Urlaub, wieder bye bye Diaspora, Diaspora, Diaspora-a-a ",1941
