song,lyrics,year
A Man's Home," Linda works the diner pourin' coffee slingin' hash She said, ""I wouldn't have come in today ""But I really need the cash ""I know I can't fool anyone 'cause dark glasses tell no lies ""But make-up won't cover up a blackened eye"" Oh, oh, oh no ""You see, Jimmy works construction now ""But yesterday it rained ""So he went down to the liquor store ""And by noon he felt no pain ""I came in an hour late then I let his supper burn ""Well he hit the roof hit the wall ""And then it was my turn"" He said ""A man's home is his castle It always has been and so it remains"" ""But he holds the keys in a fist of rage ""His home is his castle ""And mine is a cage Someone much have heard the noise and they dialed 911 And the cop that showed up at the door asked, ""Is there a problem son?"" Jimmy smiled and said ""No sir, just a little fight that's all Hey you know how it gets sometimes When you're layin' down the law"" Oh, oh, oh no ""So I pulled out my suitcase I started packin' up my clothes ""And Jimmy said 'Now Linda, where do you expect to go with those' ""I told him 'I have tried, but not an ounce of love survives' ""Well he grabbed my wrist and shouted ""You're not leavin' here alive"" She said ""I'm savin' up my money and when I get the nerve I'll run ""But Jim don't give up easily so I intend to buy a gun ""He will never see the way he treats me is a crime ""Somebody oughta lock him up but I'm the one ""Who's done the time"" He said ""A man's home is his castle It always has been and so it remains"" ""But he holds the keys in a fist of rage ""His home is his castle ""And mine is a cage"" ",1953
Railroad Bill," Railroad Bill we're gonna Railroad Bill He never works and he never will I'm gonna ride on a Railroad Bill I'm gonna ride on a Railroad Bill Railroad Bill he was a mighty bad man Kill anybody that he think he can Gonna ride old Railroad Bill Gonna ride old Railroad Bill I'm singin' Railroad Bill, I'm talkin' Railroad Bill, uh-huh-huh He never worked and he never will I'm gonna ride on Railroad Bill, yeah (C'mon) I'm gonna ride on Railroad Bill Well old Railroad Bill he done stole my wife I'm gonna check him down I'm gonna take his life Gonna ride on Railroad Bill Gonna ride Railroad Bill I'm singin' Railroad Bill On a Railroad Bill He never worked and he never will I'm gonna ride on Railroad Bill I'm gonna ride on Railroad Bill Railroad Bill he was a mighty bad man Kill anybody that he think he can Gonna ride old Railroad Bill Gonna ride Railroad Bill I'm talkin' Railroad Bill I love him Railroad Bill Uh-huh-huh He never worked and he never will Gonna ride on Railroad Bill Yeah, gonna ride on Railroad Bill Well I'm goin up the mountain Yes I'm goin' out west I got a mighty big pistol Stickin' out of my vest Gonna ride old Railroad Bill Gonna ride (alright) Railroad Bill, I love that Railroad Bill Uh-huh-huh He never works and he never will I'm gonna ride on a Railroad Bill I'm gonna ride on Railroad Bill ",1953
Bear Cat," Once I had a sweethaert She said that she'd be mine But she messed around with the other men Drink whiskey, gin and wine Once I caught her step in She thought I'd gone away So just as soon as she got home Here's what I have to say Mama, I'm a bear cat papa And if you can't stay at home I'll find another one for skidding And it won't take me long So if you try... your daddy Good gal, you won't be alone Mama, I'm a bear cat daddy And I won't be treated like a hound (Deyodelahee) Mama, I'm a bear cat papa There's nothing I won't do So if you trouble on your daddy I'm gonna hang a claw in you So this is your last warning Good gal, you better reform Mama, I'm a bear cat papa I was born in the middle of a Mama, I'm a bear cat papa And I come from away out west Half where the hooday yodel Half where the sunshine's best So if you step on your daddy I got one to take your place Mama, I'm a bear cat daddy And I come from a bear cat race ",1953
Patt Waing," Auf Chabos durch die Gosse, Akho, meiner Stadt Tiji bis die Cops kommen, Diggi, gute Nacht Ich paff' mein Bubu, häng' im Park und mach' Tijara Brauchst du Inz3n oder Baba Ganja? Ich hab' das beste Dope, frag' doch deinen Cousin, Pico Baba Material aus Columbia und Ketama Jackpot mit Haze-Knollen aus Amsti Locker easy über Grenze, fick' den Zoll, Chab, ich geb' Gas Auf der A3 Richtung Offenbach im Range Rover Sport Coupé, Leder: Besch, und ich zähl' (Monet') Tauis, Akhi, Schnapp, ich brauch' Millionen auf der Bank Solang' du fit bist, mein Bruder, hau' auf die Kacke und zähl' Patte Wa, wa, wa, wa Linke Spur, immer Vollgas Bin im Rolls-Royce, kein Engpass Durchquer' so die ganze Welt Einmal um den Globus Von Offenbach bis Offenbach Einmal um den Globus Von Offenbach bis Offenbach Einmal um den Globus Von Offenbach bis Offenbach Einmal um den Globus Von Offenbach bis Offenbach Einmal um den Globus Von Offenbach bis Offenbach Jeden Tag das Gleiche, gucken wie man Patte macht Beschaffungskriminalität, wir brauchen Gras Zieh' Richtung Park, zieh' bei Nacht irgendjemand ab Zieh' durch, was du kannst mein Bruder, doch zieh' niemals von dem Para, Gel - musst du wissen wie dus machst Sammel' Scheine und gib' Gas Inşallah Villa in Marokko Für Mama ein Palast und Papa kriegt dann noch ein'n Rolls-Royce Ist das Ziel, doch dorthin ists ein schwerer Weg Scheiß drauf, gib ihm khey, durch die Wand, Vollgas Einmal um den Globus Von Offenbach bis Offenbach Einmal um den Globus Von Offenbach bis Offenbach ",1953
Too Darn Hot," It's too darn hot It's too darn hot I like to sup with my, baby, tonight Refill the cup with my, baby, tonight I like to sup with my, baby, tonight Refill the cup with my, baby, tonight But I ain't up to my baby tonight 'Cause it's too darn hot It's too darn hot It's just too darn hot I like to coo with my, baby, tonight, And pitch the woo with my, baby, tonight I like to coo with my, baby, tonight And pitch the woo with my, baby, tonight But brother you fight my, baby, tonight 'Cause it's too darn hot According to the Kinsey Report Every average man you know Much prefers his lovey dovey to court When the temperature is low But when the thermometer goes way up And the weather is sizzling hot Mr Pants for romance is not Because it's too darn hot (Too hot) It's too darn hot It's too darn hot Oh, it's too darn hot It's too darn hot I like to coo with my, baby, tonight And pitch the woo with my, baby, tonight I like to coo with my, baby, tonight, And pitch the woo with my, baby, tonight But brother you fight my, baby, tonight 'Cause it's too darn hot Mr Gob for his squab A marine for his queen A.G.I for his cutie-pie is not Oh, it's too darn hot It's too darn hot It's too darn hot I gotta get the heat down Gotta get the heat down ",1953
Uranüs," Igo j'suis dans la vi-, igo j'suis dans la villa Tout ça c'est pas l'avenir, j'm'attache pas à cette vie là Pourquoi se mentir, ce présent n'est qu'un mirage J'ai pas dit ""Bismillah"", j'perds la foi comme un minable J'm'attache pas à mes ailes, je fly comme fils de taulard J'attends le cœur ouvert pour sentiments en retard Payant comme une vue sur la mer, gratuit comme une vue sur Uranus Un coup de pression pour effacer ton coeur et s'est resserré ton anus J'reprends goût à la vie, oseille agrume La nuit trompe le soleil, le jour elle trompe la lune La gloire en haut, mon cœur ne bat plus qu'en bas Avance on t'oublie pas, on te remplace La lune ne sera pas toujours pleine Mon cœur ne sera pas toujours vide Et tard le soir je traine, en attendant qu'ma peine se transforme en haine Comme papa, j'veux qu'ils nous craignent J'voulais le monde, aujourd'hui je veux jongler avec Demain j'lui pisse dessus et j'pars sur Namek J'suis qu'un homme, j'kicke comme un extraterrestre Jusqu'à là j'ai la dalle, j'te laisse pas mes restes Te demande pas pourquoi les billets on aime câliner Et pourtant même en ""hass"" tu me verras jamais tapiner J't'abîme, m'abîme, j'dois t'oublier J'suis le djinn de mon djinn, j'suis bousillé J'crache tous mes sentiments sous le rocher Si l'rap paye plus j'te dis buena noche La vie c'est dar, l'oseille nous libère La paix on la préfère, on a connu la guerre Perdu sur la terre, mille E sous la paire Chez moi le maire est le nerf de la guerre N'da quand on sourit à l'envers (on sourit à l'envers) Pas de héros héros, apparemment le monde est dar, j'l'ai dans le viseur Frérot, frérot, rien d'alarmant tant que les miens sont peace La lune ne sera pas toujours pleine Mon cœur ne sera pas toujours vide Et tard le soir je traine, en attendant qu'ma peine se transforme en haine Comme papa, j'veux qu'ils nous craignent ",1953
Grands boulevards," You drove me into the dark for a secret unveiling You told me you saw the signs and went back to the start Too many times has the light drawn us home when we're failing It wears us and tears us apart when we're walking too far We give it a break, cause I've just myself to blame And I think I'm all worn out from the nights I've spent alone It's easy to say that I'm just a world away And I think I'm all worn out from the time, the time, the time I had In love Lost in the halls of my heart and my head I have found you Echoing through all the spaces I never could reach You like to think that you keep me so honest and so true I'm always going to pretend that I lie through my teeth We give it a break, cause I've just myself to blame And I think I'm all worn out from the nights I've spent alone It's easy to say that I'm just a world away And I think I'm all worn out from the time, the time, the time I had In love ",1953
A Woman's Touch," Lately I've been lookin' through the windows of my soul And I can see there's not much left to hold Just an empty space surrounded by the pieces of A badly broken heart that's forgotten how to love What my heart needs is a woman's touch A tender hand to fix it up Its rough and ragged edges sure could use some love What my heart needs is a woman's touch When I look in the mirror, the only thing I see Are traces of the man I used to be Late at night I hear it, it cannot be denied A lonely voice is crying out from somewhere deep inside What my heart needs is a woman's touch A tender hand to fix it up Its rough and ragged edges sure could use some love What my heart needs is a woman's touch What my heart needs is a woman's touch A tender hand to fix it up Its rough and ragged edges sure could use some love What my heart needs is a woman's touch Yeah, its rough and ragged edges Sure could use some love What my heart needs is a woman's touch What my poor heart needs is a woman's touch A woman's touch ",1953
Just Blew In from the Windy City," The windy city is mighty pretty But they ain't got what we got, no sirree They've got shacks up to seven stories Never see any Morning Glory's But a step from our doorway We got 'em for free They've got those minstrel shows Pretty ladies in the big chateau's Private lawns, public parks For the sake of civic virtue They've got fountains there that squirt you I just blew in from the windy city The windy city is mighty pretty But they ain't got what we got I'm tellin' ya, boys We got more life in Deadwood City Than in all of Illinois You should-a seen me a-windo' shoppin' A-windo' shoppin' with eyes a-poppin' At the sights that you see there, yes sirree Press a bell and a moment later Up you go in an elevator Just as fast as a polecat a-climbin' a tree I heard claim hundreds came To a thing they call a baseball game Cigar stores, revolving doors They got new inventions coming 'Stead of outdoor, indoor plumbing I just blew in from the windy city The windy city is mighty pretty But they ain't got what we got I'm tellin' ya, boys I ain't a-swappin' half of Deadwood For the whole of Illinois ",1953
Haule Haule Dheere Dheere," Hum toh aise Toote phoote se Tham thadam se Din dahaade Baithe baithe gir gaye munh ke bal yun Humne socha humein toh bhai sab pataa hai Mill rahi iss ghalatfehmi ki saza hai Iraade tere mere Bilkul thhe tedhe medhe Jaise hum hain ulte seedhe se Chhodon na rona dhona Jab tak ke samay hai na Yaari yaaron ki… Veere.. veere.. veere.. jind apni.. Veere.. veere.. veere.. zidd apni.. Aww aww awww… Bigdi si aadat hai saali saalon ki yeh Bikhre se khwabon ko mutthi bhar ke jee le Lamhon ko dibbe mein bandh karke hum jee le O ho o… Gehri hai meelon si yaari apni veere Utre jo maujon mein lambi saanse kheeche Ban jaaye kinaare do pairon ke neeche Ho o wo… Iraade tere mere Bilkul thhe tedhe medhe Jaise hum hain ulte seedhe se Chhodon na rona dhona Jab tak ke samay hai na Yaari yaaron ki… Veere.. veere.. veere.. jind apni.. Veere.. veere.. veere.. zidd apni.. Aww aww awww… Huaa kya? kyun huaa? jaane de naa… Jaane de naa… Suno na hari si baatein jhoothi roothi Dabe paaon khushi ko aane de na Aane de na… Yehi hai zindagi kabhi khatti kabhi meethi Haule haule, dheere dheere Dil ke kamre khol de o yaar Khidki pe taangenge gubbare chand ke Veere.. veere.. veere.. jind apni.. Veere.. veere.. veere.. zidd apni.. Aww aww awww… ",1953
Mambo Italiano," (A boy went back to Napoli because he missed the scenery) (The native dances and the charming songs) (But wait a minute something's wrong) ('Cause now it's) Hey mambo, mambo Italiano hey hey mambo mambo Italiano Go go go you mixed up Siciliano All you Calabrese do the mambo like-a crazy with the Hey mambo don't wanna tarantella Hey mambo no more mozzarella Hey mambo mambo Italiano try an enchilada with a fish baccala Hey goomba I love how you dance the rumba But take some advice paisano learn-a how to mambo If you're gonna be a square you ain't-a gonna go nowhere Hey mambo mambo Italiano hey hey mambo mambo Italiano Go go Joe shake like a Giovanno E lo che se dice you get happy in the feets a when you Mambo Italiano Hey chadrool you don't-a have to go to school Just make it with a big bambino It's like vino Kid you good-a looking but you don't-a know what's cooking 'til you Hey mambo mambo Italiano Hey hey mambo mambo Italiano Ho ho ho you mixed up Siciliano E lo che se dice you get happy in the feets a when you Mambo Italiano ",1954
I Have Known Rivers," I should have known better with a girl like you That I would love everything that you do And I do, hey hey hey, and I do. Whoaa, I never realized what a kiss could be This could only happen to me Can't you see? Can't you see? That when I tell you that I love you, oh You're gonna say you love me too, oh And when I ask you to be mine You're gonna say you love me too. So I should have realized a lot of things before If this is love, you've got to give me more Give me more, hey hey hey, give me more. Whoaa, I never realized what a kiss could be This could only happen to me Can't you see? Can't you see? That when I tell you that I love you, oh You're gonna say you love me too, oh And when I ask you to be mine You're gonna say you love me too You love me too You love me too You love me too. ",1954
Old Laughter," I'd seen the pictures, life seemed all the richer Sentimental, perfect smile Social grace and oldie style He's alright, I said No surprises there Met him a month late Same old laughter, nothing's changed Big ambition, future plans Put his best days in my hands He's alright, I said So that's it settled then Don't go alone I can't lose you Why did you have to go like that? Why'd we fail to see it? Selfishly still sleeping Left with nothing, not a sign Missing diaries, different mind He's alright, we said Now look what's come of it Don't go alone I can't lose you Why did you have to go like that? I'll never know if I could have saved you If it was my place to hold you back Hold you back... Don't go alone I can't lose you Why did you have to go like that? I'll never know if I could have saved you If it was my place to hold you back Hold you back... ",1954
Hard Traveling," I'm out here a thousand miles from my home Walking a road other men have gone down I'm seeing a new world of people and things Hear paupers and peasants and princes and kings Hey hey Woody Guthrie I wrote you a song About a funny old world that's coming along Seems sick and it's hungry, it's tired and it's torn It looks like it's dying and it's hardly been born Hey Woody Guthrie but I know that you know All the things that I'm saying and a many times more I'm singing you the song but I can't sing enough 'Cause there's not many men that've done the things that you've done Here's to Cisco and Sonny and Leadbelly too And to all the good people that travelled with you Here's to the hearts and the hands of the men That come with the dust and are gone with the wind I'm leaving tomorrow but I could leave today Somewhere down the road someday The very last thing that I'd want to do Is to say I've been hitting some hard travelling too ",1954
Chi-Chi Bud," I'm feeling good, I'm feeling high, reeh I'm in the mood I'm feeling good, I'm feeling good I'm feeling high, reeh I've got no time to be feelin' blue, yeah I just wanna dance and listen some rubba-dub, rubba-dub Chill out and make love to the music I love, reggae music I just wanna dance and listen some rubba-dub, rubba-dub Chill out and make love to the woman I love To some reggae music (yeah) I've been working nine to five (from Monday to Friday) Now my body feel like I'm in overdrive Back and forth on the highway So I'm happy when the weekend come (weekend come) I tell myself it's time to have some fun, have some fun (yeah) I just wanna dance and listen some rubba-dub, rubba-dub Chill out and make love to the music I love, reggae music I just wanna dance and listen some rubba-dub, rubba-dub Chill out and make love to the woman I love To some reggae music One cup of coffee then I'll go Time fi go pon my 'ends, go play some domino It's the weekend, that's why mi heartbeat slow In Jamica we say, ""Later"" little more So I cyaan say another word ('nother word) From I get the upgrade from Hollywood Everytime I smoke it travel to mi blood Make mi see more stars an' up a Hollywood Done work, now a happy time Cyaan kill out yourself in de dollar time Only one ting weigh upon mi mind Fi make hay while de sun a shine Music is the healing of the nation So I love the cool reggae vibration Basic live I, real inspiration With de higher meditation, so I just wanna dance and listen some rubba-dub, rubba-dub Chill out and make love to the music I love, reggae music I just wanna dance and listen some rubba-dub, rubba-dub Chill out and make love to the woman I love To some reggae music Man I chill out, chill out, chill out Man I chill out, chill out, chill out 'Cause I know my skill that there's a time to bill But now is the time to chill So man I chill out, chill out, chill out Man I chill out, chill out, chill out Under, beside, or on top of the hill Oh why all mi day on de grill, yeah! I just wanna dance and listen some rubba-dub, rubba-dub Chill out and make love to the music I love, reggae music I just wanna dance and listen some rubba-dub, rubba-dub Chill out and make love to the woman I love To some reggae music I just wanna dance and listen some rubba-dub The music I love, reggae music I just, rubba-dub Chill out to some reggae music (reggae music) (To some reggae music) ",1954
John Henry," These days aint so easy mama gotta watch your back I take my whiskey straight chewin' on pieces from my past And I'm no John Henry I do my best With this guitar strapped to my back child, I'm headed west Go to sleep when the sun comes up now on this deadbeat town Come alive in the moonlight mama when that sun goes down And I'm no John Henry I do my best With this guitar strapped to my back child I'm headed west Walk away from my grave with these boots still on Lord a soul needs savin' so I grab my gun, so I grab my gun And I'm no John Henry I do my best With this guitar strapped to my back child, I'm headed west ",1954
Play Party," Southern smoke! Rich boy, it's your time! One time for all my real niggas Throwing bricks at the penitentiary Trying to do illegally shit just to get legal Shit rough out here, nigga! A party, a party, a party We can make it a party A party, we can make it a party Hey, that body right, that fine beat Never seen a bitch bad as this Rose shit, she like to bite Turn off the light, take it off tonight! Make it drool, make it drop Push it in and then suck it out! Up and down, don't let it stop Front and back and then back on top! Take a sip, no stress at all Water drip when them pantie fall In them heels she be licking tall Twelve o'clock, she like to call Watch me, what you wanna do Deep inside, let me dive in you Bring a friend cause they'll love the crew That's nothing new, they're fucking too! We can make it a party, a party, a party Bring some friends, and I bring some friends And we blow whatever, get started! We can make it a party, a party, a party Bring some friends, and I bring some friends And we blow whatever, get started! A party, a party, a party A party, we can make it a party, a party, a party Bring some friends, and I bring some friends And we blow whatever, get started! A party, we can make it a party Start, yeah! Pulling up, and they're choosing up No question later, they eat us up I'm blowing OG, you're drunk as fuck Fuck faces, she wanna fuck! So dough, so gone, 3 in the morning she hitting my phone She want me to scoop, but that fuck nigga gone Back door dog I'm in the zone We done made it a party, one for the one Baccardi She done put her girl on I don't play, she's acting all naughty! Plain nigga, so green No, our district double teamin Young play boy, don't play boy You know that boys, they scheme! We can make it a party, a party, a party Bring some friends, and I bring some friends And we blow whatever, get started! We can make it a party, a party, a party Bring some friends, and I bring some friends And we blow whatever, get started! A party, a party, a party A party, we can make it a party, a party, a party Bring some friends, and I bring some friends And we blow whatever, get started! A party, we can make it a party ",1954
If We Must Die," Killing us one by one In one way or another America will find a way to eliminate the problem One by one The problem is the troublesome black youth of the ghetto's And one by one We are being wiped off the face of this earth At an extremely alarming rate And even more alarming is the fact That we are not fighting back Brothers, sisters, niggas When I say ""nigga"" it is not the nigga we have grown to fear It is not the nigga we say as if it has no meaning But to me it means Never Ignorant Getting Goals Accomplished, nigga Niggas, what are we going to do? Walk blind into a line or fight Fight and die if we must die, like niggas This is for the masses, the lower classes The ones you left out, jobs were giving, better living But we were kept out Made to feel inferior, but we're superior Break the chains in our brains that made us fear ya Pledge allegiance to a flag that neglects us Honour a man that refuses to respect us Emancipation Proclamation? Please! Lincoln just said that to save the nation These are lies that we all accepted Say no to drugs but the governments' kept it Running through our community, killing the unity The war on drugs is a war on you and me And yet, they say this is the Home of The Free But if you ask me, it's all about hypocrisy The constitution, Yo, it don't apply to me And Lady Liberty? Stupid bitch lied to me This made me strong, and no one's gonna like what I'm pumpin' But it's wrong to keep someone from learning something So get up, it's time to start nation building I'm fed up, we gotta start teach the children That they can be all that they want to be There's much more to life than just poverty This is definitely uh... words of wisdom AMERICA! AMERICA! AMERIK-K-KA I charge you with the crime of rape, murder, and assault For suppressing and punishing my people I charge you with robbery for robbing me of my history I charge you with false imprisonment for keeping me Trapped in the projects And the jury finds you guilty on all accounts And you are to serve the consequences of your evil schemes Prosecutor, do you have any more evidence? Words of Wisdom Based upon the strength of a nation Conquer the enemy armed with education Protect yourself, reach for what you want to do Know thyself, teach by what we've been through Armed with the knowledge of the place we've been No one will ever oppress this race again No Malcolm X in my history text, why's that? 'Cause he tried to educate and liberate all blacks Why is Martin Luther King in my book each week? He told blacks, if they get smacked, turn the other cheek I don't get it, so many questions went through my mind I get sweated, they act like asking questions is a crime But forget it, cause one day I'm gonna prove them wrong Not every brother had his mother on the welfare line The American Dream, though it seems like it's attainable They're pulling your sleeve, don't believe 'Cause it will strangle ya Pulling the life of your brain, I can't explain Beg as you can obtain from which you came Swear that your mother is living in equality Forgetting your brother that's living in poverty Thought they had us beaten when they took out King But the battle ain't over till the black man sings Words of Wisdom The battle ain't over 'till the black man sings Words of Wisdom NIGHTMARE! That's what I am America's nightmare I am what you made me The hate and the evil that you gave me I shine as a reminder of what you've done to my people For Four hundred plus years You should be scared You should be running You should be trying to silence me Ha, but you cannot escape fate For it is my turn to come Just as you rose you will fall By my hands America, you reap what you sow 2Pacalypse, America's Nightmare Ice Cube and Da Lynch Mob, America's Nightmare Above The Law, America's Nightmare Paris, America's Nightmare Public Enemy, America's Nightmare KRS-One, America's Nightmare New Afrikan Panthers, America's nightmare Mutulu Shakur, America's Nightmare Geronimo Pratt, America's Nightmare Assata Shakur, America's Nightmare ",1954
Stagolee (Stagger Lee)," Stagolee was a bad man, everybody knows Spent a hundred dollars for just one suit of clothes He was a bad man, that mean old Stagolee Stagolee loaded cotton, weighed five hundred pounds Carried along a Gatling gun, that drug him to the ground He was a bad man, that mean old Stagolee It was in a hustling b-joint where the Mississippi run Stagolee killed Billy de Lyons with a smoking forty-one He was a bad man, that mean old Stagolee The high sheriff asked the deputy, ""How can it be You can arrest everybody, but the mean old Stagolee? He's a bad man, that mean old Stagolee"" And the deputy told the new sheriff, ""Double up my fee And I'll go get that outlaw, by the name of Stagolee 'Cause he's a bad man, that mean old Stagolee"" Gentlemen of the jury, what do you think about that? Stagolee killed Billy de Lyons about a five dollar Stetson hat He was a bad man, that mean old Stagolee Billy was in the card house and kneeling on the floor Stagolee pulled the trigger of his red-hot forty-four He was a bad man, that mean old Stagolee Billy said to Stagolee, ""Please don't take my life I've got three little babes and a darling loving wife You're a bad man, your name is Stagolee"" ""What do I care about your two little babes, your darling loving wife? You done stole my brand new hat and I'm bound to take your life 'Cause you're a bad man, and my name is Stagolee"" Billy died in the sawdust, with his head upon the rail Deputy took old Stagolee and he marched him off to jail He was a bad man, that mean old Stagolee The judge said, ""Mr. Stagolee, Mr. Stagolee I'm gonna hang your body up and set your spirit free 'Cause you're a bad man, your name is Stagolee"" Stagolee on his gallows, his head way up high Twelve o'clock we killed him, was all glad to see him die He was a bad man, that mean old Stagolee He was a bad man, that mean old Stagolee ",1954
Open Up The Doghouse (Two Cats Are Coming In), Open up the doghouse Open up the doghouse Rover Rover move it over two cats are coming in Nat you look like a man with a story I sure have I told my wife we oughta save money That's the way it's gotta be Oh gotta gotta be that way She cancelled all the charge accounts gave all the gold to me Well I can't see what you did wrong Why was your woman so upset Well I put the money on a horse and he hasn't showed up yet Open up the doghouse Open up the doghouse Rover Rover move it over two cats are coming in Well Dean what's your problem Here it is I gave my wife a beautiful fur coat You did Told her it was genuine mink Rich man I took her out to show it off Then we stopped in for a drink Oh cocktails We I know your wife was really thrilled How come you two had a spat It's easy to see it started to rain the coat got wet And mink just don't smell like that Timber Open up the doghouse Open up the doghouse Rover Rover move it over two cats are coming in Let's hear it Nat You know what you know what though What There's just one way to handle a woman Dean we just got to treat 'em rough Got to slap 'em That's right We got to show 'em who wears the pants Cut out that sisssy sissy stuff Now it ain't no use to take abuse Whenever they are cranky or cross Let's put the women in their place and we'll show them who's the boss Open up the doghouse Two cats are coming in ,1954
Man Piaba," When I was a lad of three-foot-three Certain questions occurred to me, So I asked me father quite seriously To tell me the story 'bout the bird and bee. He stammered and he stuttered pathetically And this is what he said to me. He said, ""The woman piaba and the man piaba and the Ton Ton call baka lemon grass, The lily root, gully root, belly root uhmm, And the famous grandy scratch scratch. It was clear as mud but it covered the ground And the confusion made the brain go 'round. I went and ask a good friend of mine, Known to the world as Albert Einstein. He said ""Son, from the beginning of time and creativity There existed the force of relativity Pi r square and a minus ten means a routine only when The solar system in one light year Make the Hayden planetarium disappear So if Mt Everest doesn't move I am positive that it will prove That the woman piaba and the man piaba And the Ton Ton call baka lemon grass, The lily root, gully root, belly root uhmm, And the famous grandy scratch scratch. It was clear as mud but it covered the ground And the confusion made the brain go 'round. I grabbed a boat and went abroad In Baden Baden asked Sigmund Freud He said ""Son, from your sad face remove the grouch Put the body down up on the couch I can see from your frustration a neurotic sublimation Hey love and hate is psychosomatic Your Rorsach shows that you're a peri pathetic It all started with a broken sibling In the words of the famous Rudyard Kipling That the woman piaba and the man piaba And the Ton Ton call baka lemon grass, The lily root, gully root, belly root uhmm, And the famous grandy scratch scratch. Well I traveled far and I traveled wide And I don't even have me self a bride All the great men upon this earth Have confused me since my birth I've been over land and been over sea Trying to find answer 'bout the bird and bee But now that I am ninety three I don't give a darn you see If the woman piaba and the man piaba And the Ton Ton call baka lemon grass, The lily root, gully root, belly root uhmm, And the famous grandy scratch scratch ",1954
Elijah Rock, Elijah Rock shout shout Elijah Rock comin' up Lord Elijah Rock shout shout Elijah Rock comin' up Lord Satan is a liar and a conjure too If you don't (mind high) watch out He'll conjure you If I could I sho'ly would Stand on the rock where Moses stood Ezekiel said he saw him Wheel in the mid' of a wheel John talked about him In the book of the 7 seals Some say the Rose of Sharon Others say the Prince of Peace But I can tell everybody (this ol' world) He been a rock and a shelter for me Hallelujah You can call my rock in the morning Call him late at night He's always with me And all my battles he'll fight When I'm in trouble I can call him on the line He put a telephone in my heart And I can call God anytime Hallelujah ,1954
